Scientific name | Common name | Brief descriptor
Yucca brevifolia | Joshua tree | Mojave Desert yucca pollinated by specialized moths
Asparagus officinalis | Asparagus | Perennial vegetable harvested as young shoots
Allium cepa | Onion | Bulb-forming crop with pungent sulfur compounds
Allium sativum | Garlic | Clonal bulb crop with strong antimicrobial compounds
Tulipa gesneriana | Garden tulip | Spring bulb bred into many colorful cultivars
Lilium candidum | Madonna lily | White trumpet-flowered bulb plant
Narcissus pseudonarcissus | Wild daffodil | Spring bulb with yellow trumpet-shaped corona
Iris germanica | Bearded iris | Rhizomatous ornamental with elaborate falls and standards
Vanilla planifolia | Vanilla orchid | Climbing orchid whose cured pods provide vanilla
Phalaenopsis amabilis | Moon orchid | Epiphytic orchid with long-lasting white flowers
Ophrys apifera | Bee orchid | Orchid whose flower mimics a female bee
Dionaea muscipula | Venus flytrap | Carnivorous plant snapping shut on insect prey
Drosera rotundifolia | Round-leaved sundew | Carnivorous bog plant with sticky tentacled leaves
Nepenthes rajah | Rajah pitcher plant | Giant pitcher plant trapping insects and small vertebrates
Sarracenia purpurea | Purple pitcher plant | North American carnivore with rain-filled leaf traps
Rafflesia arnoldii | Corpse flower | Giant parasitic flower smelling of rotting flesh
Amorphophallus titanum | Titan arum | Huge inflorescence producing carrion odor and heat
Cuscuta campestris | Field dodder | Leafless parasitic vine tapping host vascular tissue
Viscum album | European mistletoe | Evergreen hemiparasite spread by birds
Striga hermonthica | Purple witchweed | Root parasite devastating cereal crops
Arabidopsis thaliana | Thale cress | Small weed and premier plant genetics model
Brassica oleracea | Wild cabbage | Species domesticated into kale broccoli cabbage and cauliflower
Brassica rapa | Field mustard | Crop species including turnip bok choy and napa cabbage
Raphanus sativus | Radish | Root vegetable with pungent glucosinolates
Papaver somniferum | Opium poppy | Flowering crop producing edible seeds and opiate alkaloids
Eschscholzia californica | California poppy | Orange-flowered drought-adapted state flower
Aquilegia canadensis | Red columbine | Nectar-spurred woodland flower pollinated by hummingbirds
Ranunculus acris | Meadow buttercup | Glossy yellow-flowered grassland herb
Clematis vitalba | Old man's beard | Vigorous climbing vine with feathery seed heads
Ceratophyllum demersum | Hornwort | Rootless submerged aquatic flowering plant
Zostera marina | Eelgrass | Marine flowering plant forming underwater meadows
Lemna minor | Common duckweed | Tiny floating flowering plant reproducing rapidly
Wolffia globosa | Asian watermeal | One of the smallest flowering plants
Musa acuminata | Wild banana | Major ancestor of edible bananas
Musa × paradisiaca | Plantain | Starchy domesticated banana hybrid cooked as staple food
Cocos nucifera | Coconut palm | Coastal palm producing buoyant ocean-dispersed fruits
Phoenix dactylifera | Date palm | Desert palm cultivated for sweet fruits
Elaeis guineensis | African oil palm | High-yield tropical oil crop
Washingtonia robusta | Mexican fan palm | Tall slender ornamental palm
Ananas comosus | Pineapple | Bromeliad producing a fused multiple fruit
Tillandsia usneoides | Spanish moss | Rootless epiphytic bromeliad absorbing water from air
Puya raimondii | Queen of the Andes | Giant bromeliad flowering once after decades
Zea mays | Maize | Domesticated grass transformed from teosinte
Triticum aestivum | Bread wheat | Hexaploid cereal central to global agriculture
Oryza sativa | Asian rice | Flood-tolerant cereal feeding billions
Hordeum vulgare | Barley | Ancient cereal used for food malt and animal feed
Avena sativa | Oat | Cool-season cereal with nutrient-rich grains
Secale cereale | Rye | Cold-tolerant cereal used in bread and whiskey
Saccharum officinarum | Sugarcane | Giant grass storing sucrose in its stems
Bambusa vulgaris | Common bamboo | Fast-growing woody grass with hollow culms
Poa pratensis | Kentucky bluegrass | Rhizomatous turf and pasture grass
Cenchrus purpureus | Elephant grass | Extremely tall tropical forage grass
Typha latifolia | Broadleaf cattail | Wetland monocot with dense brown flower spikes
Juncus effusus | Soft rush | Wetland plant with cylindrical stems
Cyperus papyrus | Papyrus | Tall sedge historically used to make writing material
Carex pendula | Pendulous sedge | Large woodland sedge with hanging flower spikes
Eichhornia crassipes | Water hyacinth | Floating aquatic plant and severe invasive weed
Victoria amazonica | Giant Amazon water lily | Aquatic plant with enormous ribbed floating leaves
Eucalyptus regnans | Mountain ash | Tallest flowering plant species
Adansonia digitata | African baobab | Massive water-storing tree with swollen trunk
Acer saccharum | Sugar maple | North American tree tapped for maple syrup
Acer palmatum | Japanese maple | Small tree prized for delicate divided leaves
Populus tremuloides | Quaking aspen | Clonal tree with leaves trembling on flattened stalks
Salix babylonica | Weeping willow | Streamside tree with long drooping branches
Hevea brasiliensis | Rubber tree | Tropical tree producing commercial latex
Manihot esculenta | Cassava | Drought-tolerant root crop requiring toxin removal
Ricinus communis | Castor bean | Fast-growing plant whose seeds contain ricin and castor oil
Euphorbia pulcherrima | Poinsettia | Ornamental with bright red modified leaves
Carnegiea gigantea | Saguaro cactus | Giant columnar cactus iconic to the Sonoran Desert
Opuntia ficus-indica | Prickly pear | Paddle-stem cactus producing edible fruits
Echinocactus grusonii | Golden barrel cactus | Round ribbed cactus densely covered in golden spines
Lophophora williamsii | Peyote | Small spineless cactus containing mescaline
Schlumbergera truncata | Thanksgiving cactus | Epiphytic cactus with flattened jointed stems
Saccharomyces cerevisiae | Baker's yeast | Single-celled fungus used in bread beer and genetics
Schizosaccharomyces pombe | Fission yeast | Rod-shaped yeast dividing by medial fission
Candida albicans | Candida yeast | Opportunistic human-associated fungus switching growth forms
Cryptococcus neoformans | Cryptococcus | Encapsulated yeast capable of causing meningitis
Aspergillus niger | Black aspergillus | Filamentous mold used industrially to make citric acid
Aspergillus flavus | Yellow aspergillus | Crop-associated mold capable of producing aflatoxin
Penicillium chrysogenum | Penicillin mold | Filamentous fungus historically used to produce penicillin
Penicillium roqueforti | Blue cheese mold | Fungus creating veins and flavor in blue cheeses
Rhizopus stolonifer | Black bread mold | Fast-growing zygomycete producing dark sporangia
Mucor mucedo | Pin mold | Common saprotrophic mold with upright spore cases
Neurospora crassa | Red bread mold | Filamentous fungus central to biochemical genetics
Claviceps purpurea | Ergot fungus | Grass parasite producing toxic alkaloid-filled sclerotia
Cordyceps militaris | Scarlet caterpillarclub | Orange fungus parasitizing insect pupae
Ophiocordyceps unilateralis | Zombie-ant fungus | Parasite manipulating ant behavior before death
Trichophyton rubrum | Athlete's foot fungus | Dermatophyte digesting keratin in skin and nails
Batrachochytrium dendrobatidis | Amphibian chytrid | Aquatic fungus driving global amphibian declines
Allomyces macrogynus | Allomyces | Aquatic fungus with alternating haploid and diploid generations
Pilobolus crystallinus | Dung cannon fungus | Fungus explosively launching spore packets toward light
Amanita muscaria | Fly agaric | Iconic red-and-white psychoactive mushroom
Amanita phalloides | Death cap | Deadly mushroom containing liver-destroying amatoxins
Agaricus bisporus | Button mushroom | Widely cultivated mushroom including cremini and portobello forms
Pleurotus ostreatus | Oyster mushroom | Wood-decaying edible fungus capable of trapping nematodes
Lentinula edodes | Shiitake | East Asian edible mushroom grown on hardwood
Boletus edulis | Porcini | Large prized edible bolete with pores instead of gills
Cantharellus cibarius | Golden chanterelle | Yellow edible mushroom with blunt ridges
Morchella esculenta | Morel | Honeycombed spring mushroom prized as food
Tuber melanosporum | Black truffle | Underground aromatic fungus dispersed by animals
Phallus impudicus | Common stinkhorn | Carrion-scented mushroom spreading spores via flies
Hydnellum peckii | Bleeding tooth fungus | Tooth fungus exuding red droplets when young
Hericium erinaceus | Lion's mane mushroom | White cascading tooth fungus growing on wood
Armillaria ostoyae | Honey fungus | Root parasite forming some of Earth's largest organisms
Fomitopsis betulina | Birch polypore | Shelf fungus specializing on birch trees
Ganoderma lucidum | Reishi | Glossy bracket fungus used in traditional medicine
Laetiporus sulphureus | Chicken of the woods | Bright orange edible shelf fungus
Geastrum triplex | Collared earthstar | Puffball relative opening into star-shaped rays
Lycoperdon perlatum | Common puffball | Fungus releasing spores through an apical pore
Physarum polycephalum | Many-headed slime mold | Network-forming amoebozoan solving spatial problems
Dictyostelium discoideum | Social amoeba | Cells aggregate into a multicellular fruiting body
Amoeba proteus | Giant amoeba | Large shape-shifting freshwater amoeba using pseudopods
Entamoeba histolytica | Dysentery amoeba | Human intestinal parasite capable of tissue invasion
Naegleria fowleri | Brain-eating amoeba | Warm-water amoeba rarely infecting the human nervous system
Acanthamoeba castellanii | Acanthamoeba | Free-living amoeba with spiny projections and resistant cysts
Foraminifera | Foraminiferans | Amoeboid protists building intricate mineral shells
Globigerina bulloides | Planktonic foraminifer | Ocean drifter whose shells record past climates
Radiolaria | Radiolarians | Marine protists with elaborate glasslike silica skeletons
Actinosphaerium eichhornii | Sun animalcule | Large freshwater heliozoan with radiating stiff pseudopods
Paramecium caudatum | Paramecium | Ciliated freshwater protist covered in coordinated hairs
Stentor coeruleus | Blue trumpet animalcule | Giant ciliate shaped like a trumpet and able to regenerate
Vorticella convallaria | Vorticella | Bell-shaped ciliate retracting on a coiled stalk
Tetrahymena thermophila | Tetrahymena | Ciliate model with separate germline and somatic nuclei
Euplotes eurystomus | Euplotes | Flattened ciliate walking on fused bundles of cilia
Giardia duodenalis | Giardia | Flagellated intestinal parasite with two nuclei
Trichomonas vaginalis | Trichomonad | Anaerobic human parasite lacking conventional mitochondria
Trypanosoma brucei | African trypanosome | Tsetse-transmitted flagellate evading immunity by antigen switching
Trypanosoma cruzi | Chagas parasite | Kissing-bug-transmitted protist infecting muscle and nerve cells
Leishmania major | Leishmania | Sand-fly-transmitted intracellular parasite
Euglena gracilis | Euglena | Photosynthetic flagellate with flexible pellicle and eyespot
Noctiluca scintillans | Sea sparkle | Large bioluminescent dinoflagellate causing glowing waves
Symbiodinium microadriaticum | Coral symbiont | Photosynthetic dinoflagellate living inside reef animals
Alexandrium catenella | Toxic dinoflagellate | Bloom-forming plankton producing paralytic shellfish toxins
Emiliania huxleyi | Coccolithophore | Oceanic alga covered in calcium carbonate plates
Phaeocystis antarctica | Antarctic colonial alga | Southern Ocean phytoplankton forming gelatinous colonies
Chlamydomonas reinhardtii | Chlamydomonas | Two-flagellated green alga and photosynthesis model
Volvox carteri | Volvox | Spherical green-algal colony with reproductive specialization
Chlorella vulgaris | Chlorella | Tiny nonmotile green alga cultivated for biomass
Ulva lactuca | Sea lettuce | Sheetlike green seaweed common on nutrient-rich coasts
Caulerpa taxifolia | Killer alga | Giant single-celled green seaweed and invasive species
Macrocystis pyrifera | Giant kelp | Huge brown alga forming underwater forests
Sargassum natans | Floating sargassum | Pelagic brown alga creating open-ocean habitat
Fucus vesiculosus | Bladder wrack | Intertidal brown alga with paired air bladders
Laminaria digitata | Oarweed | Large kelp anchored to rocky North Atlantic shores
Porphyra umbilicalis | Nori laver | Thin red alga related to edible nori
Chondrus crispus | Irish moss | Red seaweed source of carrageenan
Galdieria sulphuraria | Acid-loving red alga | Heat- and acid-tolerant alga from volcanic habitats
Diatoma vulgare | Zigzag diatom | Silica-shelled alga forming linked colonies
Thalassiosira pseudonana | Marine diatom | Tiny photosynthetic plankter with glasslike cell wall
Navicula cryptocephala | Boat-shaped diatom | Motile benthic alga gliding along surfaces
Prochlorococcus marinus | Prochlorococcus | Tiny cyanobacterium performing a major share of ocean photosynthesis
Synechococcus elongatus | Synechococcus | Photosynthetic cyanobacterium with a circadian clock
Anabaena variabilis | Anabaena | Filamentous cyanobacterium with nitrogen-fixing heterocysts
Nostoc commune | Star jelly cyanobacterium | Gelatinous terrestrial cyanobacterial colony surviving desiccation
Escherichia coli | E. coli | Versatile gut bacterium and foundational laboratory model
Bacillus subtilis | Hay bacillus | Spore-forming soil bacterium and model gram-positive microbe
Staphylococcus aureus | Golden staph | Skin-associated bacterium capable of serious opportunistic infections
Streptococcus pneumoniae | Pneumococcus | Encapsulated respiratory bacterium causing pneumonia
Mycobacterium tuberculosis | Tuberculosis bacterium | Slow-growing intracellular pathogen with waxy cell wall
Vibrio cholerae | Cholera bacterium | Curved aquatic bacterium producing severe secretory diarrhea
Deinococcus radiodurans | Radiation-resistant bacterium | Microbe exceptionally tolerant of radiation and desiccation
Thermus aquaticus | Thermus aquaticus | Hot-spring bacterium source of heat-stable Taq polymerase
Helicobacter pylori | H. pylori | Spiral stomach bacterium associated with ulcers
Borrelia burgdorferi | Lyme disease spirochete | Tick-borne corkscrew-shaped bacterium
Clostridium botulinum | Botulism bacterium | Anaerobic spore-former producing botulinum neurotoxin
Rhizobium leguminosarum | Rhizobium | Root-nodule bacterium fixing nitrogen for legumes
Nitrosomonas europaea | Ammonia-oxidizing bacterium | Chemolithotroph converting ammonia to nitrite
Bdellovibrio bacteriovorus | Predatory bacterium | Tiny bacterium invading and consuming other bacteria
Myxococcus xanthus | Social bacterium | Cooperative predator forming multicellular fruiting bodies
Halobacterium salinarum | Salt-loving archaeon | Purple-pigmented archaeon thriving in saturated brines
Methanobrevibacter smithii | Human-gut methanogen | Archaeon consuming hydrogen and producing methane
Methanocaldococcus jannaschii | Hydrothermal-vent methanogen | Hyperthermophilic archaeon from deep-sea vents
Sulfolobus acidocaldarius | Sulfolobus | Heat- and acid-loving archaeon from volcanic springs
Pyrococcus furiosus | Furious fireball archaeon | Hyperthermophile growing near the boiling point of water
Nanoarchaeum equitans | Nanoarchaeum | Tiny archaeal symbiont attached to another archaeon
Candidatus Prometheoarchaeum syntrophicum | Prometheoarchaeum | Asgard archaeon illuminating eukaryotic origins
Marine picoplankton | Marine picoplankton | Informal endpoint for ultratiny oceanic photosynthetic cells
Uncultured DPANN archaea | DPANN archaea | Diverse ultrasmall archaea often dependent on microbial hosts
Tyrannosaurus rex | Tyrannosaurus rex | Giant bone-crushing theropod predator of Late Cretaceous North America
Triceratops horridus | Triceratops | Three-horned ceratopsian herbivore with a broad neck frill
Stegosaurus stenops | Stegosaurus | Plate-backed Jurassic herbivore with a spiked tail
Brachiosaurus altithorax | Brachiosaurus | Tall-shouldered long-necked sauropod browser
Velociraptor mongoliensis | Velociraptor | Feathered sickle-clawed predator from Cretaceous Mongolia
Spinosaurus aegyptiacus | Spinosaurus | Sail-backed semiaquatic theropod specialized for fish
Ankylosaurus magniventris | Ankylosaurus | Heavily armored herbivore with a massive tail club
Parasaurolophus walkeri | Parasaurolophus | Duck-billed dinosaur with a long resonating head crest
Archaeopteryx lithographica | Archaeopteryx | Feathered Jurassic dinosaur with wings teeth and long tail
Quetzalcoatlus northropi | Quetzalcoatlus | Giraffe-sized azhdarchid pterosaur and giant flier
Mosasaurus hoffmannii | Mosasaurus | Huge marine lizard ruling Late Cretaceous seas
Ichthyosaurus communis | Ichthyosaurus | Dolphin-shaped marine reptile with enormous eyes
Dimetrodon grandis | Dimetrodon | Sail-backed Permian synapsid predating dinosaurs
Inostrancevia alexandri | Inostrancevia | Saber-toothed Permian gorgonopsian predator
Smilodon fatalis | Saber-toothed cat | Muscular ambush feline with extremely long canine teeth
Mammuthus primigenius | Woolly mammoth | Shaggy cold-adapted elephant of the Ice Age
Mammut americanum | American mastodon | Browsing proboscidean with conical-cusped teeth
Megatherium americanum | Giant ground sloth | Elephant-sized terrestrial sloth of South America
Doedicurus clavicaudatus | Doedicurus | Armored glyptodont with a clubbed tail
Thylacinus cynocephalus | Thylacine | Recently extinct striped marsupial predator of Tasmania
Raphus cucullatus | Dodo | Flightless island pigeon driven extinct by humans and introduced animals
Dinornis robustus | South Island giant moa | Enormous flightless browsing bird of New Zealand
Aepyornis maximus | Elephant bird | Giant flightless Malagasy bird that laid enormous eggs
Hesperornis regalis | Hesperornis | Toothed flightless diving bird of Cretaceous seas
Dunkleosteus terrelli | Dunkleosteus | Giant armored Devonian fish with self-sharpening jaw plates
Otodus megalodon | Megalodon | Enormous extinct shark that hunted marine mammals
Tiktaalik roseae | Tiktaalik | Lobe-finned fish with a mobile neck and limb-like fins
Eusthenopteron foordi | Eusthenopteron | Devonian lobe-finned fish close to early tetrapods
Anomalocaris canadensis | Anomalocaris | Large Cambrian swimming predator with grasping appendages
Opabinia regalis | Opabinia | Five-eyed Cambrian animal with a flexible proboscis
Hallucigenia sparsa | Hallucigenia | Tiny Cambrian lobopodian with dorsal spines and clawed legs
Wiwaxia corrugata | Wiwaxia | Armored Cambrian seafloor grazer with scales and long spines
Aegirocassis benmoulae | Aegirocassis | Giant Ordovician filter-feeding radiodont arthropod
Dickinsonia costata | Dickinsonia | Ediacaran seafloor organism with quilted oval body
